Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-06-26,15518.740234375,15563.41015625,15469.349609375,15469.349609375,3415030000,15420.337100074405,15398.1865234375
2023-06-27,15646.6796875,15663.9501953125,15518.740234375,15518.740234375,3573500000,15452.275669642857,15399.08451171875
2023-06-28,15617.3603515625,15646.6796875,15563.099609375,15646.6796875,3739330000,15477.92661830357,15398.064921875
2023-06-29,15737.3798828125,15738.900390625,15599.900390625,15617.3603515625,3696660000,15513.295200892857,15399.1133203125
2023-06-30,15875.91015625,15908.7099609375,15737.3798828125,15737.3798828125,3923450000,15560.37951078869,15403.55912109375
2023-07-03,15918.5,15932.009765625,15853.73046875,15875.91015625,2034280000,15602.637137276786,15410.2703125
2023-07-05,15835.5302734375,15918.5,15809.0498046875,15918.5,3482620000,15625.986653645834,15415.40232421875
2023-07-06,15641.669921875,15835.5302734375,15557.9697265625,15835.5302734375,3682020000,15643.43712797619,15416.1015234375
2023-07-07,15671.6298828125,15788.740234375,15602.4697265625,15641.669921875,3630480000,15656.762369791666,15422.263515625
2023-07-10,15748.8701171875,15778.0498046875,15648.6796875,15671.6298828125,3429600000,15670.059523809523,15432.66931640625
2023-07-11,15897.3095703125,15907.6201171875,15748.8701171875,15748.8701171875,3624220000,15688.853329613095,15441.98271484375
2023-07-12,16011.2802734375,16069.0595703125,15897.3095703125,15897.3095703125,3920290000,15713.204287574405,15451.29072265625
2023-07-13,16106.849609375,16125.2001953125,16011.2802734375,16011.2802734375,3839530000,15739.79380580357,15462.709921875
2023-07-14,16040.23046875,16130.7099609375,16029.7802734375,16106.849609375,3647450000,15757.529064360118,15477.21673828125
2023-07-17,16054.169921875,16085.4296875,15977.240234375,16040.23046875,3538240000,15777.121419270834,15493.62314453125
2023-07-18,16156.509765625,16191.6103515625,16052.169921875,16054.169921875,4090010000,15792.843331473214,15514.39994140625
2023-07-19,16230.9404296875,16273.75,16156.509765625,16156.509765625,4115670000,15813.5966796875,15531.40134765625
2023-07-20,16263.7099609375,16272.8896484375,16213.8603515625,16230.9404296875,3761770000,15842.872395833334,15548.85015625
2023-07-21,16289.1201171875,16324.1298828125,16244.6796875,16263.7099609375,3570190000,15872.973353794643,15567.5763671875
2023-07-24,16369.1396484375,16398.0703125,16289.1201171875,16289.1201171875,3856250000,15909.565708705357,15587.97576171875
2023-07-25,16385.169921875,16421.740234375,16344.3603515625,16369.1396484375,3812470000,15953.176199776786,15610.41775390625
2023-07-26,16418.2109375,16456.419921875,16330.9599609375,16385.1796875,3990290000,15996.008138020834,15633.854765625
2023-07-27,16270.599609375,16458.890625,16254.16015625,16418.2109375,4553210000,16025.71861049107,15652.81556640625
2023-07-28,16363.259765625,16382.48046875,16270.599609375,16270.599609375,3981010000,16061.237630208334,15677.49576171875
2023-07-31,16427.2890625,16448.0,16363.259765625,16363.259765625,4503600000,16094.09044828869,15699.76314453125
2023-08-01,16356.509765625,16427.2890625,16310.3603515625,16427.2890625,4042370000,16116.976143973214,15719.98474609375
2023-08-02,16174.5400390625,16356.509765625,16154.33984375,16356.509765625,4270710000,16129.168526785714,15736.989140625
2023-08-03,16125.419921875,16174.5400390625,16067.5400390625,16174.5400390625,4149120000,16142.97279575893,15753.120546875
2023-08-04,16071.0595703125,16252.3203125,16059.830078125,16125.419921875,4143310000,16163.419921875,15771.09634765625
2023-08-07,16208.23046875,16215.6796875,16071.0595703125,16071.0595703125,3493920000,16188.972330729166,15794.8031640625
2023-08-08,16176.349609375,16208.23046875,16025.3701171875,16208.23046875,3884910000,16209.32849702381,15818.81076171875
2023-08-09,16135.76953125,16224.91015625,16107.849609375,16176.349609375,3803100000,16220.68373325893,15839.95234375
2023-08-10,16135.2197265625,16319.900390625,16110.1201171875,16135.76953125,4504370000,16226.585611979166,15862.7639453125
2023-08-11,16143.3798828125,16178.4501953125,16064.599609375,16135.2197265625,3753290000,16228.325148809523,15887.88875
2023-08-14,16116.0498046875,16143.3798828125,16036.0400390625,16143.3798828125,3896410000,16231.935593377977,15909.58794921875
2023-08-15,15911.3095703125,16116.0498046875,15897.330078125,16116.0498046875,3832250000,16225.132719494048,15920.91033203125
2023-08-16,15818.1103515625,15961.400390625,15816.1298828125,15911.3095703125,3753910000,16209.018461681548,15931.76833984375
2023-08-17,15734.3798828125,15900.3203125,15720.9599609375,15818.1103515625,3943700000,16185.372721354166,15938.61994140625
2023-08-18,15750.169921875,15780.2099609375,15626.919921875,15734.3798828125,3940400000,16160.918433779761,15944.2307421875
2023-08-21,15746.2099609375,15799.9404296875,15658.58984375,15750.169921875,3726850000,16135.06556919643,15949.1021484375
2023-08-22,15690.2802734375,15796.6796875,15681.849609375,15746.2099609375,3522760000,16102.738932291666,15952.90955078125
2023-08-23,15823.26953125,15838.33984375,15690.2802734375,15690.2802734375,3837270000,16075.981770833334,15958.405546875
2023-08-24,15683.009765625,15894.3095703125,15681.98046875,15823.26953125,3723470000,16040.972191220239,15958.70994140625
2023-08-25,15766.91015625,15816.8203125,15632.5703125,15683.009765625,3296180000,16016.986979166666,15961.19353515625
